小区名称,房价,区域商圈：,详细地址：,建筑类型：,物业费用：,产权类别：,容积率：,总户数：,绿化率：,建筑年代：,停车位：,开发商：,物业公司：,经度,纬度
向阳楼,36508,门头沟 大峪,新桥大街88号,多层|高层,0.00元/平米/月,商品房住宅,1.20,625户,30%,1982年,260元/车位/月,上海卫客商务信息咨询有限公司,京煤集团有限责任公司绿海物业管理分公司,116.11281803958965,39.94246510210125
金顶街四区,47962,石景山 金顶街,金顶东街,多层|高层,0.60元/平米/月,商品房住宅,1.45,1300户,20%,1996年,600个车位紧缺，地上150元每月，地下280每月,"上海塘头建材有限公司,中企物业管理有限公司",北京首钢物业管理有限公司,116.17940969653597,39.93150598333659
西上园,55009,通州 新华大街,上香胡同,多层,0.55元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2015年,暂无数据,北京通州房地产开发有限责任公司,北京通州兴华物业管理公司,116.68493211041213,39.909358359822306
倚林佳园,123092,朝阳 奥林匹克公园,林萃路,多层,2.55元/平米/月,商品房住宅,0.70,620户,32%,2002年,车位1：1.2 ，出售地下车位20万元/位，地上150元/月，地下400元/月,"利浦,博纳影业,梨视频,暖流文化,滴滴打车,宝燕集团",北京金罗马物业管理有限公司,116.3790153367863,40.02077689766063
悠乐汇,38801,朝阳 望京,阜安东路,高层,3.90元/平米/月,办公,4.93,700户,50%,2004年,地下车位450/月，共有停车位1038个,富士康科技集团,第一太平戴维斯物业顾问(北京)有限公司,116.48381929317715,39.99475591340739
北京Golf公寓,82143,朝阳 朝阳公园,公园西路8号,高层,6.10元/平米/月,商品房住宅,3.60,196户,35%,2005年,地上、地下车位，地下315个车位,复宝软件科技发展公司,北京中保第一太平戴维斯物业管理有限公司,116.47798488872041,39.94391823242503
光辉南里小区,68106,朝阳 大望路,建国路,多层|小高层|超高层,1.50元/平米/月,商品房住宅,3.00,1500户,30%,2002年,150元/车位/月,印刷厂和社科院,街道办事处（委员会）,116.29376937778923,39.84644929341041
小关北里,76838,朝阳 小关,安苑路,多层,0.50元/平米/月,商品房住宅,2.03,3062户,30%,1992年,地上车位200-300。元没有，无地下车位。地上车位固定车位费用300，非固定车位200.,"上海永腾投资管理有限公司,上海电音马兰士贸易有限公司",北京恒安物业管理公司,116.42182803840855,39.98772004581759
未来明珠家园,64071,丰台 马家堡,红莲南路,高层,1.80元/平米/月,商品房住宅,2.50,378户,30%,2003年,6.5万每位,渡边物华园管理有限公司,百泽林物业管理有限公司,116.34252414398699,39.88291574645604
真武庙二条3号楼,144905,西城 木樨地,真武庙二条3号,多层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.3515110186818,39.910659102543256
金泽家园A区,28798,朝阳 东坝,康各庄路,多层,1.20元/平米/月,动迁配套房,0.00,5740户,30%,2012年,暂无数据,北京市朝阳城市建设综合开发公司,朝青物业管理公司,116.57044172570717,39.96096458836166
利景名门,50251,朝阳 花家地,花家地东路5号,高层,1.90元/平米/月,商品房住宅,3.64,135户,38%,2000年,1户1车位,上海仙乐斯物业管理有限公司,红城物业管理公司,116.4835711811953,39.98858291587088
法院宿舍,60774,朝阳 朝阳公园,六里屯北里16号,多层|小高层,0.70元/平米/月,商品房住宅,2.10,185户,32%,1986年,85,北京房地产开发商有限公司,业主自管,116.48179496171042,39.93851054930245
嘉园一里,64194,丰台 马家堡,角门北路,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.37438205662694,39.859914320507855
高鑫家园,28333,丰台 科技园区,高立庄南路9号,小高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,26%,暂无数据,暂无数据,上海明通投资发展有限公司,北京超凡物业管理有限公司,116.31429485021727,39.79860183344429
城南嘉园益星园,75634,丰台 马家堡,马家堡西路,多层|小高层,1.95元/平米/月,商品房住宅,1.90,暂无数据,34%,2004年,暂无数据,上海寰舟水产有限公司,北京京丰物业管理有限责任公司,116.37544160797594,39.84191133013377
国锐金嵿(商住楼),39814,大兴 亦庄,荣华南路1号,高层,0.00元/平米/月,办公,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.51449022803489,39.796677571072685
一栋洋房,63629,大兴 亦庄,天华北路,低层,2.85元/平米/月,商品房住宅,0.67,627户,43%,2001年,充足,北京懿麟房地产开发有限公司,北京首万物业服务有限公司,116.50536793558106,39.80778583688327
林肯公园C区,60537,大兴 亦庄,西环北路,高层,0.00元/平米/月,商品房住宅,2.80,暂无数据,35%,2008年,暂无数据,平高大厦物业管理有限公司,北京晟邦物业管理有限公司,116.49835693056734,39.81002003486646
蓟门里社区(东区),86057,海淀 蓟门桥,西土城路,高层,3.00元/平米/月,商品房住宅,2.50,2000户,30%,2002年,地上车位150元/月,北京市房地产开发经营总公司,北京务实物业管理有限公司,116.35896704424516,39.97684218689577
石门新居,49229,朝阳 百子湾,百子湾南三路35号,高层,0.00元/平米/月,动迁配套房,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.40229770882446,39.75674657105368
西四北八条,183008,西城 西四,西四北八条,低层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.37523932574462,39.93199089281458
向军南里,82863,朝阳 呼家楼,东三环北路,低层|高层,1.20元/平米/月,商品房住宅,1.72,1000户,30%,2002年,180,暂无数据,单位自管物业,116.46647022903241,39.92694920781211
广渠金茂府(西区),141201,朝阳 双井,广渠路25号,高层,6.50元/平米/月,商品房住宅,2.25,暂无数据,30%,2013年,暂无数据,上海南塘物业有限公司,北京金茂物业管理有限公司,116.49097330842807,39.89997223949495
中海北京世家(别墅),58799,大兴 瀛海镇,公园北环路,低层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.76917162947515,40.29645972053253
坝鑫家园,28163,朝阳 东坝,东坝路,多层,2.58元/平米/月,动迁配套房,2.00,暂无数据,33%,2013年,暂无数据,北京首都开发股份有限公司,北京嘉宝物业管理有限公司,116.54128120173392,39.97527005526267
百荣嘉园,48545,东城 永定门,西革新里116号,多层,1.88元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2015年,暂无数据,北京百荣房地产开发有限公司,北京中原华夏物业管理有限公司,116.39700129953764,39.873358134379785
安华里社区(一区),82339,朝阳 安贞,安定门外大街,多层,1.50元/平米/月,单位集体自建房,2.20,800户,30%,1988年,150,上海豪景物业管理有限公司,北京亿方物业管理有限责任公司.,116.41145018434341,39.971984543924464
东营前街小区,44795,通州 新华大街,玉带河东街,多层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.94612009676293,40.38760560969138
龙门新区B9小区,23380,门头沟 龙泉,和平街,多层|小高层,1.70元/平米/月,商品房住宅,0.00,暂无数据,35%,2013年,暂无数据,上海蒂沙物业管理有限公司,北京奥和物业管理有限公司,116.0892253029978,39.95108579286173
受水河胡同小区,171504,西城 西单,受水河胡同,多层,0.60元/平米/月,商品房住宅,1.60,42户,30%,2000年,胡同区，停车位比较紧缺,暂未获知,-,116.37394350387696,39.91953492425472
富力爱丁堡公馆,109788,朝阳 团结湖,白家庄路1号,高层,4.60元/平米/月,商品房住宅,0.00,648户,30%,2005年,1:2,北京富力地产开发有限公司,北京恒富物业服务有限公司,116.46619786280178,39.93504428298473
风荷曲苑,86910,丰台 六里桥,莲宝中路,高层,2.47元/平米/月,商品房住宅,2.47,1300户,31%,2006年,地下480元/月,华凯投资集团有限公司,北京瑞斯特物业管理有限公司,116.30730028419437,39.88956604048304
亚奥人家,77859,朝阳 健翔桥,安翔里1号,高层,1.60元/平米/月,商品房住宅,0.00,568户,40%,1999年,每户一位，出租150元/月,上海新北方物业管理有限公司,北京金第房地产物业公司,116.39025448617438,39.99734767644923
Dearvilla,82401,大兴 亦庄,文化园西路,低层,3.38元/平米/月,商品房住宅,0.43,177户,46%,2004年,1：2,名谷科技有限公司,北京首万物业服务有限公司,116.52297297188088,39.99818012740747
首创禧瑞都,147007,朝阳 CBD,朝阳路139号,高层,7.98元/平米/月,商品房住宅,3.50,654户,31%,2015年,共395个,"上海交通投资(集团)有限公司,上海佳绿绿化有限公司",北京仲量联行物业管理服务有限公司,116.47191036720083,39.92452469548403
远洋天地,74295,朝阳 四惠,八里庄西里1号,小高层|高层|超高层,2.30元/平米/月,商品房住宅,3.20,3300户,32%,2003年,1：0.7,"上海南河服饰有限公司,源捷贸易有限公司",远洋亿家物业服务股份有限公司,116.49889905794261,39.91905950766695
临泓路6号院,61453,丰台 大红门,临泓路6号,多层|高层,0.55元/平米/月,商品房住宅,2.26,500户,30%,2004年,150元/车位/月,"上海趣志网络科技有限公司,上海喜游娱乐有限公司",北京市建苑居物业管理中心,116.40424595381451,39.85116670409543
兴盛街187号院,43051,大兴 黄村,兴盛街187号,小高层|高层,1.80元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2014年,暂无数据,暂无数据,北京大兴城建开发管理二公司,116.32283072883418,39.761082760572485
首城国际,93740,朝阳 双井,广渠路36号,高层,2.83元/平米/月,商品房住宅,3.20,3820户,30%,2010年,A、B、D区车位和住宅比例0.8:1；C区车位和住宅比例2:1,上海维风企业管理有限公司,北京市嘉宝物业管理有限公司,116.47585868940884,39.89867212255458
高楼金第,26112,通州 梨园,群芳南街,高层,1.80元/平米/月,商品房住宅,2.50,800户,31%,2010年,车位充足1180个,暂无数据,高楼金第小区物业管理办公室,116.6939778672365,39.87015712436405
青春路六院,33811,怀柔 怀柔城区,青春路,多层,2.00元/平米/月,商品房住宅,2.00,428户,30%,2000年,地上停车位,无,北京万怡光华物业管理有限公司,116.63518637669442,40.32680083141157
红玺台,155788,朝阳 太阳宫,太阳宫二街3号,高层,5.97元/平米/月,商品房住宅,2.80,576户,35%,2012年,全部设置为地下车库670（1:1.17）个；第四代人车分流系统设置，专门设计了搬家通道与垃圾车清运路线，100%实现社区内人车分流，地上150元/月,上海旭华物业有限公司,北京懋源鸿玺物业管理有限公司,116.44573356497898,39.98544641664814
南湖中园小区,71314,朝阳 望京,湖光北街,多层,0.68元/平米/月,商品房住宅,1.50,3783户,30%,1999年,150/月,北京市新兴房地产开发有限公司,兴安物业,116.46663399012688,40.00434206058615
天通苑西二区,40781,昌平 天通苑,立汤路,多层,1.25元/平米/月,经济适用房,1.10,5760户,30%,2015年,地上停车位150元/月 地下停车180元/月,北京顺天通房地产开发有限公司,北京顺天通物业管理公司,116.41350901074175,40.10863904478827
广安康馨家园(南区),48838,丰台 卢沟桥,丰仪路1号,高层,2.17元/平米/月,商品房住宅,4.00,暂无数据,30%,1998年,一共2522个停车位,广安置业房地产开发有限公司,北京中商和旭物业管理有限公司,116.23557768583616,39.881679197518785
保利春天里,45796,大兴 生物医药基地,思邈路,高层,2.80元/平米/月,商品房住宅,2.80,2848户,30%,2013年,车位配比1:1,虎扑体育,保利物业管理(北京)有限公司,116.32841199079822,39.678398555249
首钢古北居民区,44911,石景山 古城,古城北路25号,多层,1.10元/平米/月,商品房住宅经济适用房,1.40,86户,20%,1983年,免费,上海冠图企业管理有限公司,北京首钢物业管理有限公司,116.19642504018377,39.922299094876536
珠江摩尔公元,40000,昌平 回龙观,北清路1号,多层,3.48元/平米/月,办公,1.17,966户,35%,2011年,266,北京中关村国际商城发展有限公司,北京康景物业管理有限公司,116.19290718597615,40.07463044287261
阜成路8号院,105882,海淀 甘家口,阜成路8号,小高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,1990年,暂无数据,暂无数据,无,116.32557100979237,39.927806003989495
上地佳园,89819,海淀 上地,上地东二路,多层|小高层,2.48元/平米/月,商品房住宅,2.00,1130户,43%,2005年,底商300个车位，一月150元，地下1100个车位，每月450元，18万买断，车位和户数比例为1.3比1,"江苏木里文化发展中心,上海英冠文化投资中心",实创物业管理公司,117.19381445638724,40.68973143321307
团结湖南里,70004,朝阳 团结湖,朝阳北路,多层,1.50元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,1977年,暂无数据,国家福利房,北京市朝阳区房屋管理公司,116.46973727634165,39.92929624198086
蓝龙小区,32000,门头沟 大峪,滨河路,多层,0.00元/平米/月,小产权房,0.00,暂无数据,30%,暂无数据,暂无数据,暂无数据,暂无数据,116.10743206924347,39.96010468500789
沿海赛洛城(南区),65840,朝阳 百子湾,广渠东路33号,多层|小高层|高层,1.50元/平米/月,商品房住宅,2.60,6524户,30%,2007年,车位充足,上海中中家缘实业有限公司,美佳物业管理有限公司,116.51164331821266,39.90282341475265
首开熙悦睿府书香,39314,房山 良乡,书院南街10号,多层,3.15元/平米/月,商品房住宅,2.80,1577户,30%,2015年,停车位为1:2,北京首都开发股份有限公司,北京方庄物业管理有限公司,116.176126389897,39.7308207633527
兴政西里,42506,大兴 黄村,兴华大街,多层,1.20元/平米/月,商品房住宅,1.53,1600户,32%,2015年,停车免费,无,业主自管,116.34258186191262,39.73439675696866
天际万象高尔夫花园,57338,朝阳 常营,朝阳北路,高层,3.15元/平米/月,商品房住宅,2.60,暂无数据,暂无数据,2008年,暂无数据,上海家能实业有限公司,鸿瑞侨物业,116.60392795003317,39.93724830502528
澳景花庭,76446,朝阳 奥林匹克公园,花虎沟8号,多层|小高层|高层,2.50元/平米/月,商品房住宅,2.30,553户,30%,2003年,分为上下机械车位和地上停车位。地上150/月，机械车位450/月，售价均在15-30万之间不等。,北京裕泰房地产开发有限公司,裕泰物业,116.3705129649649,40.021573801778096
裕馨家园,36111,通州 临河里,铜铝材厂路,多层,1.80元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,北京永年嘉福高炮师物业管理处,116.69170326785469,39.88082431128916
云岗南区西里,42585,丰台 云岗,文西路,多层,3.00元/平米/月,商品房住宅,0.00,暂无数据,12%,2008年,充足,暂未获知,业主自管,116.16405891299816,39.81376106310474
小井润园(一区),57138,丰台 北大地,望园路,多层,1.00元/平米/月,商品房住宅,1.20,600户,30%,2000年,1：1,北京宏基源房地产开发有限公司,北京御井丽家物业管理有限公司,116.29307606559662,39.88045624734532
西单教育街小区,148550,西城 西单,西城教育街2号,多层,0.00元/平米/月,商品房住宅,2.00,3220户,26%,2000年,车位充足,暂无数据,暂无数据,116.37929201488338,39.911841869905125
新世界中心公寓,65473,东城 崇文门,崇文门外大街3号,高层,13.70元/平米/月,商品房住宅,4.30,3400户,30%,2000年,地上流动车位,上海友喜建设集团有限公司,北京祥和物业管理有限公司,116.4238959376925,39.90424785054574
金铸阳光苑,0,石景山 金顶街,铸造村中路2号,高层,0.00元/平米/月,经济适用房,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.52130297702256,39.85729681396818
尚城,30891,昌平 龙泽,发展路8号,高层,2.80元/平米/月,小产权房,3.00,暂无数据,30%,2010年,暂无数据,北京中天华瑞科技发展有限公司,北京中视盛元物业管理有限公司,116.30066018952573,40.11061283471207
顺源里小区,82815,朝阳 三元桥,新源街,多层,0.80元/平米/月,商品房住宅,2.00,1092户,30%,1983年,350,首创股份有限公司,北京朝阳区物业管理有限公司左家庄分公司,116.46357517003484,39.95482764411499
阳光南里,66887,海淀 清河,清河二街72号,多层,0.80元/平米/月,商品房住宅,1.35,1027户,35%,1995年,150元/车位/月,阿耐思特岩田产业机械(上海)有限公司,康苑物业管理有限公司,116.34530157167463,40.039059679464366
甜水园东里,66734,朝阳 甜水园,甜水园东街,多层,0.00元/平米/月,商品房住宅单位集体自建房,1.50,2646户,28%,1984年,甜水园东里内都是地上的车位，车位租金一年1800元，基本上都被个人承租，车位紧缺，可提前和物业打招呼申请，以免影响停车！,北京市崇文区城市建设开发公司,三元物业,116.48934602799675,39.931691053087214
华普花园,65551,东城 东直门,东直门南大街9号,高层,5.50元/平米/月,商品房住宅,3.80,550户,30%,1999年,150元/车位/月,华普产业集团,华普物业,116.4391013753988,39.94216548302035
农丰里,92201,朝阳 东大桥,"朝阳北路,近工人体育场东路",多层,1.71元/平米/月,商品房住宅,2.00,暂无数据,40%,1990年,暂无数据,暂无数据,农业部内部管理部门,116.46000368698827,39.929899119615094
西长安壹号,17878,门头沟 永定,石龙东路,高层,0.00元/平米/月,经济适用房,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.13176303330344,39.91461804434068
泰禾中央广场,53000,大兴 黄村,新源大街,小高层|高层,4.18元/平米/月,商品房住宅,3.00,暂无数据,30%,暂无数据,暂无数据,福州泰禾物业管理有限公司北京分公司,泰禾地产,116.3262954033556,39.72094204225839
大山子北里,53142,朝阳 大山子,酒仙侨路,多层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,1957年,暂无数据,暂无数据,无,116.49385902504832,39.99009310205211
沙河一通小区,43648,昌平 沙河,沙阳路,多层|高层,0.60元/平米/月,商品房住宅,1.50,374户,30%,2001年,暂无数据,北京顺天通房地产开发有限公司,北京百姓人家物业管理中心,116.2626210833835,40.12815209307252
瑞丽江畔(北区),60289,丰台 马家堡,马家堡西路28号,高层,2.50元/平米/月,商品房住宅,2.64,暂无数据,30%,2005年,暂无数据,上海申华物业管理有限公司,北京市洋桥瑞丽物业管理有限责任公司,116.38048622222833,39.85023416062316
华城滨河世家,103012,东城 广渠门,夕照寺大街16号,多层,2.80元/平米/月,商品房住宅,0.00,暂无数据,30%,暂无数据,暂无数据,上海金运物业管理有限公司维也纳国际酒店,北京中海物业管理有限公司,116.44876956811105,39.89355389002581
石门营新区三区,27874,门头沟 永定,紫金北路,多层,0.80元/平米/月,动迁配套房,0.00,暂无数据,35%,2001年,暂无数据,庆扬贸易有限公司,保利物业管理(北京)有限公司,116.11093608954626,39.89532131805777
中关园,27757,海淀 北京大学,成府路,多层,2.90元/平米/月,商品房住宅,1.20,500户,20%,1983年,停车位380个，出租300-600元/月,"贝古设计事务所,中国建筑与室内设计师网",-,116.32499600443543,39.99786952701159
富力又一城(A区),51884,朝阳 豆各庄,大鲁店北路,小高层|高层,2.20元/平米/月,商品房住宅,2.40,6400户,35%,2004年,1：0.8；售价：15万/个；租价：350元/位·月,北京华恩房地产开发有限公司,北京恒富物业服务有限公司,116.57255364196112,39.85307052658762
金隅花石匠二期东区,57743,通州 土桥,土桥中街,小高层|高层,2.80元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2010年,暂无数据,北京金隅嘉业房地产开发有限公司,北京金隅大成物业管理有限公司,116.70643520872667,39.879870026309206
合木山庄,71546,昌平 北七家,九台路8号,低层,2.00元/平米/月,商品房住宅,0.30,180户,暂无数据,1999年,暂无数据,北京九台房地产开发有限责任公司,合木山庄物业管理有限公司,116.39386297940796,40.08721707364368
智学苑,54974,海淀 西二旗,西二旗西路29号,多层|高层,1.50元/平米/月,商品房住宅,2.10,2714户,29%,1999年,地上150元/月，地下300元/月,上海台鼎物业管理有限公司,北京东居物业管理有限公司,116.31795032482903,40.0567599377504
拾景名苑,37313,石景山 古城,体育场西街20号,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.20754821833052,39.907710776594165
樱花园小区,81836,朝阳 惠新西街,北京市朝阳区建安东路,多层,0.70元/平米/月,商品房住宅,1.30,2768户,30%,1986年,充足 免费,"上海趣志网络科技有限公司,上海喜游娱乐有限公司",北京中日樱花物业管理公司,116.42726997318799,39.981491051654565
世安家园,63453,朝阳 望京,望京西路,多层|高层,1.56元/平米/月,商品房住宅,2.12,1580户,30%,1998年,1：1配置,杭州银行、复星集团,北京市望京实业总公司,116.46273920692727,40.00696530383434
工体3号,86008,东城 东直门外,工体西路3号,高层,6.95元/平米/月,商品房住宅,3.50,暂无数据,40%,2006年,暂无数据,北京世纪中基房地产开发有限公司,戴德梁行顾问,116.45357604157273,39.937016087694744
首座御园(二期2号院),34103,大兴 枣园,清泰路2号,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.37290452372412,39.75531946493103
知春路52号院,97364,海淀 知春路,知春路52号,高层,2.72元/平米/月,商品房住宅,4.00,853户,30%,1985年,地上停车位，先到先得,上海巨东商务有限公司,北京神舟天辰物业服务有限公司,116.34429358306187,39.98098033968549
加华印象街,52480,通州 武夷花园,通胡大街23号,小高层,1.70元/平米/月,商品房住宅,1.90,2000户,40%,2003年,停车位2：1,北京盛业房地产开发有限公司,北京万方缘物业管理中心,116.69448864374948,39.92166647619191
合立方,50002,昌平 立水桥,中滩村6号,小高层|高层,1.20元/平米/月,商品房住宅,3.00,暂无数据,30%,2010年,暂无数据,海琪物业管理有限公司,北京城科第一太平物业管理服务有限公司,116.41664221052999,40.06336868719719
康营家园(23期),32661,朝阳 孙河,香江北路,多层,1.20元/平米/月,动迁配套房,0.00,暂无数据,30%,2010年,暂无数据,"上海芝阁信息科技服务有限公司,上海窗钩厂",房修一公司,116.5481155998844,40.04059615227146
都市心海岸雅园,60186,朝阳 花家地,阜通西大街18号,高层,2.59元/平米/月,商品房住宅,3.25,533户,37%,2002年,300多个,上海河岸商业开发有限公司,中时杰肯道夫物业管理公司,116.47441798703194,39.99478880249338
国锐金嵿,62055,大兴 亦庄,荣华南路1号,小高层|超高层,4.20元/平米/月,商品房住宅,4.83,1650户,30%,2014年,停车位配比1：1.6,北京国锐房地产开发有限公司,北京澳西物业管理有限公司,116.51449022803489,39.796677571072685
锦上国际公寓,75886,西城 长椿街,核桃园西街37号,高层,4.80元/平米/月,商品房住宅,4.50,暂无数据,30%,2001年,暂无数据,北京市天工房地产开发有限公司,暂无数据,116.35818390150158,39.89903199243044
东关一区(东区),30219,怀柔 怀柔城区,南大街,多层,0.88元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,无,居民自管委,116.6824040092154,39.914038067008235
金泉家园,87619,朝阳 亚运村,大屯路,高层,2.88元/平米/月,商品房住宅,3.50,2800户,30%,2008年,地下车位2200个、租价450元/月，车位管理费50元；出售13万到18万 目前地下2层除了3、4号楼比较紧张,北京高德房地产有限责任公司,长城物业集团股份有限公司,116.41903484725582,40.01088153430118
伯宁花园,66476,朝阳 朝阳公园,朝阳公园路,高层,6.44元/平米/月,商品房住宅,2.40,192户,35%,1996年,每户一位,上海义签商业有限公司,北京大成苑物业管理有限责任公司,116.47943277754139,39.95131139385562
角门西里晨光小区,64918,丰台 马家堡,角门北路,多层,0.80元/平米/月,商品房住宅,1.00,暂无数据,30%,2015年,150元/车位/月,隆江物业管理有限公司,久筑物业,116.38158493969759,39.8550442945013
西便门外大街西里,144478,西城 西便门,西便门外东大街,多层,0.90元/平米/月,商品房住宅,1.80,892户,20%,1989年,地面车位150/月,一建集团有限公司,业主自管,116.35012268751612,39.8994999380472
北纬40度(东区),79636,朝阳 望京,广达路2号,高层,2.36元/平米/月,商品房住宅,2.50,2100户,30%,2008年,地下450元/车位/月、地上：200元/车位/月,"上海达同科技有限公司,上海驰阳信息科技有限公司",达文（中澳）物业管理有限公司,116.47148690598343,40.02949274240213
蝶泉花园,36000,朝阳 常营,东苇路126号,低层,6.80元/平米/月,办公,0.60,暂无数据,80%,2011年,暂无数据,北京常赢绿洲假日运动中心有限公司,北京德康物业管理有限责任公司,116.60330946668955,39.93932183641768
甘露晴苑,54978,朝阳 甘露园,朝阳路,高层,1.63元/平米/月,商品房住宅,3.00,700户,30%,2001年,充足，150元/月,杭州华亭科技有限公司,北京恒安物业管理有限公司,116.5265100947417,39.9224577673902
通大家园,29512,通州 九棵树,九棵树西路,高层,2.80元/平米/月,商品房住宅,2.59,750户,30%,2004年,3200,北京市烟草公司物资储运公司,北京通大家园物业管理有限公司,116.64719097220757,39.87809818231691
朝阳园,60372,朝阳 甘露园,甘露园南里25号,高层,4.95元/平米/月,商品房住宅,3.00,744户,35%,2000年,480元/车位/月季付费,上海阿斯牛牛春天实业有限公司,国贸物业酒店管理有限公司,116.52358018149036,39.92442668676132
金台西路2号院,60913,朝阳 呼家楼,金台西路2号,多层,0.50元/平米/月,商品房住宅,1.25,暂无数据,暂无数据,1958年,暂无数据,北京住总房地产开发有限公司,金台物业,116.47730073924401,39.924344862856984
馨然嘉园二区(长阳国际城二区),41802,房山 长阳,长政南街,多层,1.82元/平米/月,商品房住宅,2.02,暂无数据,30%,2012年,暂无数据,上海中观信息科技有限公司,中铁建（北京）物业管理有限公司,116.22385327181158,39.76429534313041
甘露园西里,55901,朝阳 甘露园,朝阳路,高层,1.00元/平米/月,商品房住宅,3.60,266户,30%,1975年,总数0个 地上车位0个,上海阿斯牛牛春天实业有限公司,北京国贸酒店物业管理有限公司,116.51645527133796,39.922587043022055
富力阳光美园,57200,朝阳 常营,常营中路2号,多层|高层,1.80元/平米/月,商品房住宅其他,2.49,8000户,41%,2004年,车位充足,世邦魏理仕,天力管理物业公司,116.61305697977832,39.933898088559005
玉带河西街2、4号楼,53713,通州 新华大街,玉带河西街2、4号,多层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.6583673300405,39.906979365519234
