小区名称,房价,区域商圈：,详细地址：,建筑类型：,物业费用：,产权类别：,容积率：,总户数：,绿化率：,建筑年代：,停车位：,开发商：,物业公司：,经度,纬度
前进花园一区,36123,顺义 石门,顺沙路,多层,0.50元/平米/月,商品房住宅,1.00,336户,30%,1999年,地面免费停车，无车库，,北京建升房地产公司,北京前进花园物业管理中心,116.6383312544543,40.14388079929007
华远铭悦,58331,通州 土桥,砖厂南里22号,小高层,2.40元/平米/月,商品房住宅,2.20,1200户,30%,2002年,799个(1:0.7),北京华和房地产开发有限公司,北京圣瑞物业服务有限公司铭悦分公司,116.70360895993117,39.877796064468754
石园东社区,38761,顺义 石园,石园大街,多层,0.50元/平米/月,商品房住宅,1.13,2100户,20%,2015年,1800个，免费停车充分够用，小区保安很负责人，非常安全。,大龙地产开发有限公司,业主自管,116.67353333213492,40.11652771972272
北京新天地(西区),56087,朝阳 管庄,朝阳路7号,小高层|高层,1.98元/平米/月,商品房住宅,3.10,暂无数据,30%,2004年,暂无数据,杉岛咖啡、诺诗雅美容,安泰祥物业管理有限公司,116.61147200953651,39.92032409599439
荧屏里,49661,朝阳 大山子,酒仙桥北路,高层,0.00元/平米/月,商品房住宅,3.60,440户,30%,2000年,总数0个 地上车位0个,暂未获知,无,116.46332041059222,39.963958507193546
四路通住宅小区,53000,朝阳 常营,弘燕东路,多层,2.84元/平米/月,商品房住宅,0.00,暂无数据,30%,2005年,150元/车位/月,暂未获知,-,115.97887471521861,39.73099213398251
佟馨家园A区,32703,大兴 黄村,永华路,高层,1.20元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.31858785224944,39.731793019865485
华业东方玫瑰,54788,通州 梨园,"梨园南街,近临河里路",高层,2.50元/平米/月,商品房住宅,3.12,7300户,35%,2006年,规划机动车停车位数量5800个，其中地上约1000个，地下约4800个。住宅的机动车车位配比为1：0.7。,北京君合百年房地产开发有限公司,深圳华业物业管理公司,116.6915560355816,39.885909106734324
华瀚福园(C区),30000,朝阳 东坝,东坝中路,多层,1.20元/平米/月,经济适用房,0.00,暂无数据,29%,暂无数据,暂无数据,华翰投资集团,和泓物业有限公司,116.57938696214498,39.96679310324039
景欣园,41085,通州 九棵树,京津公路,小高层,1.80元/平米/月,商品房住宅,1.80,750户,30%,2001年,充足,通州区住房和城乡建设委员会,北京东景博通物业管理有限公司,116.66960216756215,39.89597487144333
燕丹村,26666,昌平 天通苑,大海路,多层,1.50元/平米/月,小产权房,0.00,暂无数据,30%,暂无数据,暂无数据,北京城建三房地产开发有限公司,北京燕城苑物业管理公司,116.44525324102278,40.10409293488529
金鑫苑小区,18610,房山 窦店,大窦路,多层,0.42元/平米/月,商品房住宅,1.20,1180户,45%,2001年,地上车位1：1，车位免费,北京聚源置业有限公司,北京首钢物业管理公司,116.07333373954299,39.67440991731635
通景园,38909,通州 九棵树,九棵树西路,高层,2.50元/平米/月,商品房住宅,0.00,暂无数据,42%,2010年,595,北京社团住宅合作社,北京信铭物业管理有限公司,116.64912358668174,39.884217769795974
白盆窑天兴家园,52216,丰台 科技园区,樊羊路,多层,1.80元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2012年,暂无数据,暂无数据,暂无数据,116.31793235871882,39.82916183895063
城南嘉园益嘉园,51262,丰台 马家堡,马家堡西路,多层,1.30元/平米/月,单位集体自建房,1.87,1267户,34%,2002年,地上车位150/元、地下车位350/元,上海寰舟水产有限公司,北京京丰物业管理有限责任公司,116.37904695714026,39.838821516855816
嘉园一里,64194,丰台 马家堡,角门北路,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.37438205662694,39.859914320507855
后南仓小区,50204,通州 通州北苑,新城南街,多层,0.60元/平米/月,商品房住宅,1.17,1674户,30%,1990年,250,通州区住房和城乡建设委员会,北京通运达物业管理有限公司,116.65802067394421,39.90801829621002
中关村港沟16号院,108000,海淀 苏州桥,港沟路16号,多层,0.50元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,1978年,暂无数据,无,北京亿方物业管理有限责任公司,116.30964243615054,39.98662567003797
山语间(保利西山林语),58911,海淀 马连洼,黑龙潭路,多层,0.40元/平米/月,商品房住宅,0.00,3315户,30%,0000-00-00年,地下停车场,暂无数据,暂无数据,116.2217337199608,40.044811468348676
天通苑西三区,36955,昌平 天通苑,立汤路,多层|高层,1.25元/平米/月,经济适用房,3.50,2600户,30%,2015年,地上150/月，地下车库180元,北京顺天通房地产开发有限公司,北京顺天通物业管理公司,116.41350901074175,40.10863904478827
天裕昕园(西区),22000,顺义 中央别墅区,天北路,高层,1.89元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,北京市天竺房地产开发公司,空港物业集团,116.5298764048098,40.09016311762757
高巢小区,78027,海淀 清河,龙岗路35号,高层,2.45元/平米/月,商品房住宅,4.30,645户,10%,2005年,车位充足，地上车位150元/月，地上非常少，基本是地下的260元/月,北京恒乾房地产开发有限公司,北京恒乾物业,116.36506743696343,40.03669828224955
首创禧瑞都,147007,朝阳 CBD,朝阳路139号,高层,7.98元/平米/月,商品房住宅,3.50,654户,31%,2015年,共395个,"上海交通投资(集团)有限公司,上海佳绿绿化有限公司",北京仲量联行物业管理服务有限公司,116.47191036720083,39.92452469548403
盛今大厦,60776,丰台 六里桥,莲宝路1号,高层,2.00元/平米/月,商品房住宅,1.33,暂无数据,35%,2001年,暂无数据,上海锦森物业管理有限公司,北京中视盛元物业有限公司,116.30713409767503,39.89523918231763
奥北中心北区,30000,昌平 立水桥,中东路400号,高层,1.78元/平米/月,办公,4.37,暂无数据,33%,2008年,暂无数据,"上海海林贸易有限公司,上海羽西科技信息有限公司",北京富瑞物业管理有限公司,116.41634091886195,40.06553306059169
双河南里小区,34875,大兴 黄村,京开路,多层,0.70元/平米/月,商品房住宅,1.43,1200户,25%,2015年,150元/车位·月,北京顺义新城建设开发有限公司,北京天宝伟业物业管理有限责任公司,116.35382586215046,39.739729048708256
和平门小区,129871,西城 西单,西绒线胡同10号,多层,0.65元/平米/月,单位集体自建房,0.00,暂无数据,暂无数据,2000年,充足,"阿克苏若贝尔,古驰贸易有限公司",北京侬苑物业服务中心,116.38660269461523,39.90927845485987
东亚印象台湖,41550,通州 台湖镇,台湖大街23号,高层,2.50元/平米/月,商品房住宅,1.96,暂无数据,32%,2014年,暂无数据,北京硕日新宇投资有限公司,北京东亚时代物业管理有限公司,116.65256122220731,39.8445778322157
牡丹园东里,102689,海淀 牡丹园,北土城路,多层|高层,0.68元/平米/月,商品房住宅,1.33,1772户,30%,2015年,停车位是120元/月,上海显贵物业管理有限公司,北京海淀区志新物业管理公司,116.40450520478468,39.984943888839986
石门营新区四区,27436,门头沟 永定,紫金北路,多层,0.00元/平米/月,动迁配套房,0.00,暂无数据,12%,2001年,暂无数据,庆扬贸易有限公司,保利物业管理(北京)有限公司,116.1088301919392,39.893345189046855
兴华东里,0,大兴 兴丰大街,富强路,多层,0.00元/平米/月,小产权房,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.34174257507465,39.74161177920552
大羊毛胡同小区,93342,东城 建国门,大羊毛胡同,低层,0.00元/平米/月,商品房住宅,0.00,24户,10%,1953年,暂无数据,暂无数据,暂无数据,116.4205602598423,39.92860144255692
新翠景园,44357,通州 九棵树,云景南大街,多层|小高层,2.40元/平米/月,商品房住宅,1.70,1700户,40%,2005年,地上150个，地下200个,北京市紫金恒房地产开发有限责任公司,新翠景园物业管理有限公司,117.10343508563814,40.15655136467106
左家庄南里,75108,朝阳 国展,左家庄西街,高层,0.58元/平米/月,商品房住宅,3.30,3000户,25%,1990年,地上300,北京友谊辉志房地产开发公司,铭月豪物业公司,116.44906654791264,39.96025559575882
劲松西社区(劲松八区),60937,朝阳 劲松,劲松路,多层,0.50元/平米/月,商品房住宅,1.90,1988户,30%,2000年,暂无数据,"阿克苏若贝尔,古驰贸易有限公司",朝阳区房屋管理局第一管理所,116.4780842413098,39.887337149510756
盛今大厦,60776,丰台 六里桥,莲宝路1号,高层,2.00元/平米/月,商品房住宅,1.33,暂无数据,35%,2001年,暂无数据,上海锦森物业管理有限公司,北京中视盛元物业有限公司,116.30713409767503,39.89523918231763
龙门新区A9小区,22000,门头沟 门头沟周边,龙门西街,多层|小高层,0.65元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2013年,暂无数据,上海蒂沙物业管理有限公司,北京奥和物业管理有限公司,116.0892253029978,39.95108579286173
汇福悦榕湾,21394,北京周边 燕郊,燕顺路,小高层,2.80元/平米/月,商品房住宅,2.50,4000户,35%,2017年,车位充足，地上907；地下：18220,上海瑞强物业,仲量联行物业管理顾问公司,117.27494554733477,40.6525181474141
六合园,51046,石景山 鲁谷,鲁谷南路,多层,0.60元/平米/月,商品房住宅,2.00,860户,30%,1994年,车位500个,保利(北京)房地产开发有限公司,北京芳星园物业管理中心,116.22495719945279,39.90362744835935
和谐家园(一区),44909,昌平 回龙观,龙锦三街,多层,0.64元/平米/月,商品房住宅经济适用房,1.56,1864户,30%,2005年,150元/车位/月，1600/车位/年,北京首开天鸿集团有限公司,北京天鸿宝地物业管理经营有限公司,116.36687788188823,40.09142437735129
大悦公寓,48148,朝阳 朝青板块,朝阳北路99号,高层,6.00元/平米/月,办公,4.50,624户,35%,2010年,停车位:1:3，共2024个,上海秉福物业服务有限公司,北京凯莱物业管理有限公司,116.5263645692491,39.93058712807028
香江花园,105379,朝阳 来广营,香江北路1号,低层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.52578498253405,40.038409091615996
北坞嘉园,82001,海淀 西山,北坞嘉园北小街,多层,0.80元/平米/月,商品房住宅,1.20,1668户,20%,2010年,1:1,上海总泉物业管理有限公司,上海总泉物业管理有限公司,116.5042052587595,39.99329357665045
羊肉胡同120号院,134139,西城 金融街,羊肉胡同120号,多层,0.50元/平米/月,商品房住宅,0.00,310户,暂无数据,1990年,20,暂未获知,业主自管,116.37242393027628,39.928412007158606
奥北中心南区,34997,昌平 立水桥,汤立路201号,高层,1.78元/平米/月,办公,3.00,暂无数据,30%,2003年,暂无数据,上海制皂,北京富瑞物业管理有限公司,116.41765792457012,40.06034036698043
山水汇豪苑(北区),24341,房山 窦店,窦店北路,多层,0.90元/平米/月,商品房住宅,1.32,200户,35%,2002年,地上车位，车位费暂不收取,北京汇豪房地产开发建设有限公司,北京汇豪嘉业高新科技发展有限公司,116.07875097092091,39.65850907906544
中海安德鲁斯庄园(东区),54811,朝阳 百子湾,高碑店路181号,低层,0.00元/平米/月,商品房住宅,0.80,暂无数据,36%,2006年,暂无数据,上海尊木汇文化投资有限公司,北京中海物业管理有限公司,116.53116241897789,39.89053486003122
华业东方玫瑰,54788,通州 梨园,"梨园南街,近临河里路",高层,2.50元/平米/月,商品房住宅,3.12,7300户,35%,2006年,规划机动车停车位数量5800个，其中地上约1000个，地下约4800个。住宅的机动车车位配比为1：0.7。,北京君合百年房地产开发有限公司,深圳华业物业管理公司,116.6915560355816,39.885909106734324
双河南里小区,34875,大兴 黄村,京开路,多层,0.70元/平米/月,商品房住宅,1.43,1200户,25%,2015年,150元/车位·月,北京顺义新城建设开发有限公司,北京天宝伟业物业管理有限责任公司,116.35382586215046,39.739729048708256
农光里小区,64948,朝阳 劲松,南磨房路,多层|高层,1.50元/平米/月,商品房住宅,2.10,7484户,40%,1985年,1000个左右 150/月,上海世华物业管理有限公司,大盟物业,116.47097262607896,39.888028772341514
颐阳山水居西区,28619,海淀 温泉,温泉路,多层,1.00元/平米/月,小产权房,1.53,暂无数据,30%,1995年,暂无数据,庆扬贸易有限公司,保利物业管理(北京)有限公司,116.19892017356828,40.04532660116391
沙滩后街55号院,119218,东城 沙滩,沙滩后街55号,多层,0.00元/平米/月,单位集体自建房,0.00,暂无数据,暂无数据,2015年,暂无数据,"上海吉广文化传媒有限公司,上海智奥会展有限公司",单位自管,116.40680828045116,39.932738181514146
枣园北里,39913,大兴 黄村,兴业大街,多层,0.70元/平米/月,商品房住宅,1.10,720户,40%,2001年,150元/车位·月,德必文化创意服务有限公司,北京金冠物业管理有限公司,116.32993425931542,39.759658033040274
天坛东里(中区),87892,东城 天坛,天坛东路,多层,0.50元/平米/月,商品房住宅,1.60,2040户,30%,1980年,免费停车位,"阿克苏若贝尔,古驰贸易有限公司",单位自管物业,116.42608106584554,39.88220678264746
曙光花园望河园,87738,海淀 车道沟,彰化路7号,高层,1.00元/平米/月,商品房住宅,2.06,544户,30%,2004年,890个,上海家能实业有限公司,北京燕桥物业管理有限公司,116.29871167504403,39.94894382512917
广安康馨家园(南区),48838,丰台 卢沟桥,丰仪路1号,高层,2.17元/平米/月,商品房住宅,4.00,暂无数据,30%,1998年,一共2522个停车位,广安置业房地产开发有限公司,北京中商和旭物业管理有限公司,116.23557768583616,39.881679197518785
珺悦国际,25000,大兴 生物医药基地,天华大街,高层,2.98元/平米/月,办公,2.50,3061户,35%,2014年,共2062个，其中地下1919个停车位，地上143个停车位。车位配比为1：0.67,北京锦荣物业管理有限公司,北京晟邦物业服务公司,116.31989973761623,39.69223606083886
陶家湾小区,50000,朝阳 高碑店,惠河南街,多层,0.00元/平米/月,小产权房,0.00,暂无数据,40%,暂无数据,暂无数据,暂无数据,暂无数据,116.5489540782474,39.91135505401313
天通苑西二区,40781,昌平 天通苑,立汤路,多层,1.25元/平米/月,经济适用房,1.10,5760户,30%,2015年,地上停车位150元/月 地下停车180元/月,北京顺天通房地产开发有限公司,北京顺天通物业管理公司,116.41350901074175,40.10863904478827
巩华家园北二村,28000,昌平 沙河,顺沙路8号,高层,1.00元/平米/月,小产权房,0.00,暂无数据,暂无数据,暂无数据,暂无数据,北京市昌平房地产开发有限公司,北京东方惠峰物业管理有限公司,116.51063874316085,40.17540955024187
永乐(东区),52603,石景山 鲁谷,鲁谷大街,多层,0.50元/平米/月,商品房住宅其他,1.00,7000户,18%,1990年,地上车位1000个、150元/月,"阿克苏若贝尔,古驰贸易有限公司",芳星园物业有限公司,116.23924295197799,39.90624427977269
烟树园小区,96307,海淀 世纪城,蓝靛厂西路,多层,1.20元/平米/月,商品房住宅,2.20,11000户,35%,2004年,300元/车位/月,北京金源鸿大房地产开发有限公司,北京世纪颐和物业管理有限责任公司,116.28526062799871,39.96868311373056
京旺家园二区,29696,朝阳 朝阳周边,金港南路,多层,1.20元/平米/月,动迁配套房,0.00,暂无数据,30%,2000年,暂无数据,"上海竞翔汽车零件有限公司,上海佳化有限公司",北京华特物业管理有限公司,116.57926813878365,40.01856829158413
神龙辛屯小区,38501,通州 马驹桥,辛房路,多层,0.65元/平米/月,商品房住宅,1.80,暂无数据,30%,2001年,1:0.5,北京伯雅房地产开发有限公司,神龙物业,116.55037073568072,39.72417904752747
北三环中路40号社区,110138,海淀 北太平庄,励耘路,板楼、塔楼、多层、高层,1.00元/平米/月,商品房住宅,0.00,454户,30%,2000年,车位充足,暂未获知,-,116.3698634900812,39.9731961016707
东铁营横一条小区,56108,丰台 刘家窑,东铁营横一条,多层,1.00元/平米/月,商品房住宅,1.89,600户,15%,2000年,230,"上海芝阁信息科技服务有限公司,上海窗钩厂",上海叶达贸易发展有限公司,116.43768896964546,39.86292979424595
鸿博家园(二期F区),43774,朝阳 小红门,红坊路,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.47049230212279,39.83158552709728
西山甲一号,57955,丰台 长辛店,长顺二路,高层,4.31元/平米/月,商品房住宅,2.50,暂无数据,40%,2018年,暂无数据,北京金隅房地置业有限公司,北京金海燕物业,116.19400401700382,39.86874305010719
西三环北路82号院,97130,海淀 航天桥,西三环北路82号,高层,1.50元/平米/月,商品房住宅,2.80,300户,45%,1995年,150元/车位/月,国科实业发展有限公司,业主自管,116.46671905965867,39.958624386904134
华龙苑中里(南区),60014,昌平 霍营,黄平路,多层,0.80元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,1992年,暂无数据,北京三江鸿泰房地产开发有限公司,北京市华龙苑物业管理中心,116.37656323223572,40.08359245662851
建材城西一里,64060,海淀 西三旗,建材城西路,多层,0.83元/平米/月,商品房住宅,1.00,1900户,30%,2000年,充足,"富兴园置业发展有限公司,上海绿化有限公司",北京华远物业管理公司,116.37069361420296,40.067904011128306
加州水郡(西区),33764,房山 长阳,昊天北大街48号,高层,1.70元/平米/月,商品房住宅,3.00,15000户,40%,2000年,150元/位·月 。地下车位180元/位·月，可购买，有产权证。,上海交大科技创业研究中心,北京永隆国际酒店物业管理有限公司,116.16881678813176,39.774246200518995
和平里七区社区,108498,东城 和平里,青年沟路,多层,0.50元/平米/月,商品房住宅单位集体自建房,2.00,9000户,10%,1981年,车位充足，无停车费,"阿克苏若贝尔,古驰贸易有限公司",北京首华物业管理有限公司,116.42812426172797,39.966986233305576
北京新天地(东区),56503,朝阳 管庄,朝阳路5号,高层,1.98元/平米/月,商品房住宅,3.11,5000户,30%,2004年,车位费：地上150元/月，车位数：3250个 车位配比：0.56:1,上海大博汽车有限公司,天诚广厦物业管理有限公司,116.61318552729679,39.92061903871046
建安里小区,38043,昌平 昌平县城,府学路,多层,0.65元/平米/月,商品房住宅,1.80,330户,30%,1995年,充足,北京天湖房产,北京肆维基业物业管理有限公司,116.26108596909751,40.22867263145121
富力又一城(C区),58164,朝阳 豆各庄,大鲁店北路,高层,2.20元/平米/月,商品房住宅,2.60,暂无数据,35%,2004年,暂无数据,北京华恩房地产开发有限公司,北京恒富物业服务有限公司,116.56444194320603,39.853054947808104
京投万科新里程(南区),42341,房山 长阳,阜盛大街59号,小高层,2.50元/平米/月,商品房住宅,2.00,1066户,30%,2013年,一期全部在地上，比例约为商品房1:0.5，限价房1:0.4,紫泰物业管理有限公司,北京万科物业服务有限公司,116.19446080535565,39.73832017450368
小羊宜宾胡同小区,112154,东城 东单,小羊宜宾胡同,低层,0.80元/平米/月,商品房住宅,0.00,暂无数据,30%,1990年,总数0个 地上车位0个,北京城市建设开发集团总公司,业主自管,116.4205602598423,39.92860144255692
海户西里31号院,58151,丰台 洋桥,马家堡东路,多层|高层,1.20元/平米/月,商品房住宅,2.30,352户,42%,1995年,车位充足,暂未获知,北京永祥泰物业管理中心,116.39490411549403,39.85765738740732
世华龙樾一里,94576,海淀 清河,后屯路,高层,3.49元/平米/月,商品房住宅,2.40,5217户,30%,2014年,共566个车位，车位配比1:1.23,上海显贵物业管理有限公司,北京城承物业管理有限责任公司,116.3577779572416,40.05231506268809
首城国际,93740,朝阳 双井,广渠路36号,高层,2.83元/平米/月,商品房住宅,3.20,3820户,30%,2010年,A、B、D区车位和住宅比例0.8:1；C区车位和住宅比例2:1,上海维风企业管理有限公司,北京市嘉宝物业管理有限公司,116.47585868940884,39.89867212255458
玉泉西街甲3号院,53147,石景山 古城,玉泉西街甲3号,多层,0.00元/平米/月,商品房住宅经济适用房,1.40,864户,25%,1983年,1：1,"阿克苏若贝尔,古驰贸易有限公司",高能所房管科,116.25207389872975,39.917929921665795
安慧里(一区),74943,朝阳 亚运村,慧忠路,多层|高层,1.50元/平米/月,商品房住宅,2.60,2500户,35%,1990年,地上非固定车位120元/月。固定车位150元/月,"华夏银行上海分行,新时代证券股份有限公司上海分公司",北辰信诚物业管理公司,116.42058011239409,39.99932920867382
新华街七里,53306,丰台 看丹桥,新华街,高层,0.50元/平米/月,商品房住宅,3.80,800户,30%,1996年,车位价格大车150元/月、小车120元/,京铁丰建开发有限公司,北京京铁丰建物业管理公司,116.29302064014665,39.848603909907844
拾景名苑,37313,石景山 古城,体育场西街20号,高层,0.00元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.20754821833052,39.907710776594165
丰汇园小区,196741,西城 金融街,太平桥大街84号,多层,3.60元/平米/月,商品房住宅,1.88,700户,30%,1999年,出租地下400元/月，地上150元/月，出售20万元左右/位,北京兆泰房地产开发公司,北京丰汇物业管理有限责任公司,116.37407636326189,39.92151617132381
武夷花园牡丹园,53788,通州 武夷花园,通胡大街,小高层,0.65元/平米/月,商品房住宅,2.00,2500户,44%,2001年,不带锁车位60/月，带锁车位80/月。,北京海鸿物业经营管理有限公司,北京武夷物业管理有限公司,116.70356314635018,39.92488601929221
吉祥里小区,90816,朝阳 朝外大街,朝外北街,多层|高层,2.00元/平米/月,商品房住宅,2.46,3000户,25%,1996年,3500个,上海豪景物业管理有限公司,北京东旭佳业物业管理有限责任公司,116.4449707239399,39.931809384042324
城锦苑,60684,朝阳 北苑,双营路6号,多层|高层,2.39元/平米/月,商品房住宅,1.26,暂无数据,30%,2014年,200,"快板电子科技有限公司,上海久誉软件系统有限公司",北京金源顺达物业管理有限责任公司,116.43017176947687,40.04275075976217
中关园,27757,海淀 北京大学,成府路,多层,2.90元/平米/月,商品房住宅,1.20,500户,20%,1983年,停车位380个，出租300-600元/月,"贝古设计事务所,中国建筑与室内设计师网",-,116.32499600443543,39.99786952701159
顺四条37号院,51492,丰台 刘家窑,顺四条37号,高层,1.00元/平米/月,商品房住宅,3.00,360户,10%,1992年,地面停车,天鸿开发,北京天鸿宝地物业管理经营公司,116.43359386431713,39.86045834380541
天通苑西二区,40781,昌平 天通苑,立汤路,多层,1.25元/平米/月,经济适用房,1.10,5760户,30%,2015年,地上停车位150元/月 地下停车180元/月,北京顺天通房地产开发有限公司,北京顺天通物业管理公司,116.41350901074175,40.10863904478827
沙河一通小区,43648,昌平 沙河,沙阳路,多层|高层,0.60元/平米/月,商品房住宅,1.50,374户,30%,2001年,暂无数据,北京顺天通房地产开发有限公司,北京百姓人家物业管理中心,116.2626210833835,40.12815209307252
宋家庄家园,53938,丰台 宋家庄,石榴庄路,多层|高层,1.24元/平米/月,商品房住宅,2.27,800户,28%,2007年,180,北京建工地产开发有限公司,北京建工物业服务有限公司,116.43295732503277,39.853638768789594
华纺易城,71751,朝阳 朝青板块,青年路29号,小高层,2.30元/平米/月,商品房住宅,2.46,2930户,40%,2005年,一期户型面积120平方米1:0.8，120平方米以上1:1,上海第 一太平戴维斯物业管理有限公司,北京华纺正金物业管理有限公司,116.5214792245636,39.9362757945657
首开龙湖天璞,101619,朝阳 东坝,驹子房路,小高层,0.00元/平米/月,商品房住宅,2.20,暂无数据,30%,2017年,暂无数据,上海地铁运营有限公司,北京龙湖物业服务有限公司,116.56056764137205,39.97398195418275
奥林匹克花园(一期),74485,朝阳 东坝,东坝中路,多层|小高层,1.50元/平米/月,商品房住宅,2.10,846户,40%,2003年,地面车位150元/月，地下车位300元/月,上海盛顺餐饮有限公司,北京奥园物业管理有限公司,116.55186000674163,39.968370062566024
光辉里,76220,朝阳 CBD,大望路,高层,1.80元/平米/月,商品房住宅,0.00,暂无数据,30%,2015年,暂无数据,北京房地产开发有限公司,北京红星酒厂股份有限公司,116.48420403742708,39.91492207389635
高杨树北里,55260,朝阳 东坝,驹子房路,多层,0.43元/平米/月,商品房住宅,1.90,1000户,30%,2004年,800,北京高苑房地产开发有限公司,北京高苑房地产开发有限公司,116.55715902111443,39.95521044594568
西西庄园,32226,通州 果园,通朝大街,小高层,0.98元/平米/月,商品房住宅,2.10,暂无数据,31%,2010年,充足,庆扬贸易有限公司,百万庄物业管理有限公司,116.65171717435015,39.898886965307206
炫立方,27500,顺义 顺义城区,金关北二路2号,小高层|高层,2.96元/平米/月,办公,2.21,816户,30%,2014年,406个车位（含部分机械车位）,北京开源易通仓储有限公司,北京首华物业管理有限公司,116.61917803352331,40.12222208955338
蓝调沙龙,50050,通州 九棵树,怡乐北街,多层|高层,2.50元/平米/月,商品房住宅,1.50,暂无数据,35%,2004年,暂无数据,北京天行雅坤房地产开发有限公司,北京燕科物业管理有限责任公司,116.65777606535383,39.89322257000318
朝阳无限芳菁苑,59413,朝阳 甘露园,朝阳路,多层,1.92元/平米/月,商品房住宅,0.00,暂无数据,暂无数据,2004年,暂无数据,上海净空环保工程有限公司,北京市京工物业管理有限责任公司,116.5181639382485,39.92420860474176
瀛海朗苑,30000,大兴 瀛海镇,瀛裕街,高层,0.00元/平米/月,经济适用房,0.00,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,116.44905001909126,39.77219030380257
DBC加州小镇(C区),52111,通州 土桥,颐瑞中二路,小高层|高层,2.20元/平米/月,商品房住宅,2.00,暂无数据,30%,2010年,暂无数据,北京卓越房地产开发有限公司,北京泛茂物业管理有限公司,116.68976634151409,39.87055701657621
天竺家园,31645,顺义 天竺,李天路,多层,0.30元/平米/月,商品房住宅,2.13,4000户,30%,2009年,1：1,北京市天竺房地产开发公司,北京顺义区天竺新村物业管理公司,116.5947021727846,40.04883279700399
亮马嘉园,64363,朝阳 酒仙桥,酒仙桥路,小高层|高层,2.30元/平米/月,商品房住宅,2.00,583户,30%,2006年,地上100个150元/月，地下400元/月,铭大物业管理有限公司,北京市均豪物业管理股份有限公司,116.50652180900863,39.96635216464175
清岚花园西区,34905,顺义 后沙峪,俗安路,多层,0.98元/平米/月,商品房住宅,1.17,2096户,30%,2007年,自动停车,上海增沁物业管理有限公司,北京裕鑫龙腾物业管理公司,116.54582348354513,40.12605799729349
